,Analysis,Training Size,[Train Data] - The least error ML model,[Train Data] - RMSE (mean of cv=10),[Train Data] - STD (mean of cv=10),[Train Data] - RMSE(%) (mean of cv=10),[Test Data] - The least error ML model,[Test Data] - RMSE (cv=1),[Test Data] - RMSE(%) (cv=1)
114,9,0.35,Multi-layer Regressor,4.966098723645901,3.186085160135474,6.207623404557376,Multi-layer Regressor,5.781185015154719,7.2264812689434
115,9,0.4,Multi-layer Regressor,4.370431547666722,3.672752646900246,5.463039434583402,Multi-layer Regressor,5.228690985606943,6.5358637320086785
116,9,0.45,Multi-layer Regressor,4.783622218452814,2.8219642624601047,5.9795277730660175,Multi-layer Regressor,5.829804608680492,7.287255760850615
117,9,0.5,Multi-layer Regressor,3.6906942321512823,2.0390684037516693,4.613367790189103,Multi-layer Regressor,5.0037377220321355,6.254672152540169
118,9,0.55,Multi-layer Regressor,4.2395252139826995,2.024506871443273,5.299406517478374,Multi-layer Regressor,4.563106666904186,5.703883333630233
119,9,0.6,Multi-layer Regressor,3.7791282734856297,1.719388664822588,4.723910341857037,Multi-layer Regressor,6.992540317847482,8.740675397309353
120,9,0.65,Decision Tree Regressor,4.084480262910283,1.9766185726883039,5.105600328637854,Decision Tree Regressor,4.527692569068709,5.659615711335886
121,9,0.7,Multi-layer Regressor,3.832123547069235,2.075838558907529,4.790154433836544,Multi-layer Regressor,4.006607861356381,5.008259826695475
122,9,0.75,Decision Tree Regressor,4.2664404519497126,2.0447051629270327,5.333050564937141,Decision Tree Regressor,8.206704576137732,10.258380720172164
123,9,0.8,Multi-layer Regressor,4.309828534526615,2.870533000144129,5.387285668158269,Multi-layer Regressor,3.7189917310811063,4.648739663851383
124,9,0.85,Multi-layer Regressor,3.446671425500328,1.0397833279419808,4.30833928187541,Multi-layer Regressor,2.719089973411752,3.39886246676469
125,9,0.9,Multi-layer Regressor,3.5418543992829212,1.1873607315705463,4.427317999103651,Multi-layer Regressor,2.8077543412189,3.5096929265236247
126,10,0.25,Decision Tree Regressor,8.357412253190597,4.7287443895315535,0.8058961258562132,Decision Tree Regressor,12.279188048672088,1.1840686778741667
127,10,0.3,Random Forest Regressor,6.711664327693083,4.72307234653184,0.6471984528069981,Random Forest Regressor,11.461621238896353,1.1052316043080814
128,10,0.35,Random Forest Regressor,6.299994578467579,3.580279633767765,0.6075015889953108,Random Forest Regressor,12.206101597916142,1.1770210313380858
129,10,0.4,Random Forest Regressor,6.553102872776447,2.7874627109613392,0.6319085450752526,Random Forest Regressor,14.161221431570546,1.3655510992338278
130,10,0.45,Random Forest Regressor,6.858622808194431,2.596263087043331,0.6613694984021865,Random Forest Regressor,11.808751036745479,1.138704951174399
131,10,0.5,Random Forest Regressor,6.8627505229732435,4.796862450943764,0.6617675294252003,Random Forest Regressor,12.595265097737093,1.2145476421272827
132,10,0.55,Random Forest Regressor,6.981303742500314,2.9484989459758966,0.673199486762015,Random Forest Regressor,12.092956183427397,1.166110542728401
133,10,0.6,Random Forest Regressor,7.21210138586576,3.2079418041301073,0.6954550511652127,Random Forest Regressor,12.608752537811801,1.2158482212269646
134,10,0.65,Random Forest Regressor,8.322131981127374,4.872499173188364,0.8024940877954425,Random Forest Regressor,10.36293637121674,0.9992866237835395
135,10,0.7,Random Forest Regressor,8.437547943454181,5.447974367402337,0.8136235228506095,Random Forest Regressor,9.45859804618207,0.9120822678741486
136,10,0.75,Random Forest Regressor,8.929948998958752,5.709648734787867,0.8611052182578389,Random Forest Regressor,7.821765298289923,0.7542442756538577
137,10,0.8,Random Forest Regressor,9.231973259763972,5.290668788452966,0.8902290875039194,Random Forest Regressor,6.872519366129111,0.6627095282897896
138,10,0.85,Random Forest Regressor,8.643694294274395,3.2044386384806103,0.8335019900665809,Random Forest Regressor,3.3941626442356267,0.32729539271813524
139,10,0.9,Random Forest Regressor,8.006031943779181,4.206980875879439,0.7720129068073133,Random Forest Regressor,2.9491584614373494,0.28438412592379597
140,11,0.25,Linear Regressor,8.241921972582382,4.895538032967261,10.302402465727978,Linear Regressor,10.196122027139348,12.745152533924184
